Shop_ID,Nazwa,Nazwa_Spolki,Format_Sklepu,PowSala,PowOgolem,IloscKas,data_wstapienia,data_wystapienia,LiczbaPracownikow,LiczbaUczniow,ProgramMagazynowy,standard_promocji
3206,Sklep 122,Mazowsze,C,178,180,5,2001-10-08,,8,5,IdoSell,mini
820,Sklep 123,Mazowsze,E,51,89,3,2005-06-13,2011-11-30,5,1,IdoSell,standardowa
1174,Sklep 125,Północ,F,47,102,4,1999-06-24,2015-06-24,1,0,IdoSell,standardowa
373,Sklep 126,Małopolska,F,48,61,6,2005-01-28,2016-06-05,3,0,IdoSell,standardowa
2445,Sklep 127,Zachód,D,113,119,5,2012-10-10,,4,3,IdoSell,standardowa
4488,Sklep 128,Śląsk,D,114,121,5,2005-06-17,2019-12-07,8,2,IdoSell,standardowa
566,Sklep 129,Wielkopolska,B,306,366,8,2011-07-23,,7,4,ILUO,standardowa
663,Sklep 130,Kielce,E,92,126,1,2013-10-20,,3,1,ILUO,mini
666,Sklep 131,Podkarpacie,D,107,112,0,2003-08-30,,7,2,ILUO,standardowa
667,Sklep 132,Kujawy,A,428,437,10,2020-05-26,2021-10-19,12,6,ILUO,standardowa
675,Sklep 133,Śląsk,B,277,283,6,2021-11-03,,10,6,ILUO,standardowa
683,Sklep 134,Wielkopolska,D,103,106,2,2021-01-20,,8,3,Posnet Temo,standardowa
684,Sklep 135,Bielsko-Biała,C,216,244,5,2006-08-23,2018-06-21,6,4,Posnet Temo,mini
685,Sklep 136,Mazowsze,A,450,455,9,2010-10-14,2013-09-09,11,3,FakturaXL,standardowa
687,Sklep 137,Orbita,D,114,139,4,2019-12-18,,5,4,ILUO,standardowa
1162,Sklep 139,Podlasie,F,42,46,6,2003-06-09,,4,2,IdoSell,standardowa
1190,Sklep 140,Orbita,F,38,64,4,2004-03-27,,2,2,IdoSell,mini
2166,Sklep 142,Kielce,B,308,340,3,2010-11-17,2018-11-13,10,4,ILUO,standardowa
2167,Sklep 143,Północ,C,244,268,3,2010-07-15,,8,2,ILUO,mini
2175,Sklep 146,Północ,D,135,153,6,2009-08-18,2011-07-05,5,4,ILUO,standardowa
2176,Sklep 147,Małopolska,D,114,114,2,2006-03-24,2023-10-29,5,4,ILUO,standardowa
2177,Sklep 148,Północ,D,108,113,8,2003-12-02,2007-01-08,4,4,ILUO,standardowa
2180,Sklep 149,Orbita,C,216,287,1,2004-04-11,,8,5,ILUO,standardowa
2183,Sklep 151,Podkarpacie,C,159,218,9,2004-06-27,,7,5,ILUO,standardowa
2187,Sklep 152,Podkarpacie,C,171,172,4,2002-02-18,,7,4,ILUO,mini
2190,Sklep 154,Północ,F,48,101,6,2004-08-21,,4,2,ILUO,mini
2191,Sklep 155,Opole,D,115,123,7,2010-12-07,,5,3,ILUO,standardowa
2550,Sklep 157,Mazowsze,C,176,189,6,2003-07-13,,5,4,ILUO,standardowa
2818,Sklep 161,Razem,D,147,163,5,2013-04-04,,8,3,FakturaXL,standardowa
3012,Sklep 163,Żory,A,419,431,8,2014-10-13,,8,2,Posnet Temo,standardowa
3076,Sklep 166,Kielce,C,173,173,2,2009-01-06,2018-04-07,8,2,IdoSell,mini
3089,Sklep 167,Podkarpacie,C,212,217,4,2019-06-22,,7,5,IdoSell,mini
3138,Sklep 168,Podlasie,D,101,146,2,2001-05-13,2015-05-24,5,3,ILUO,standardowa
3139,Sklep 169,Północ,B,269,278,6,2010-07-20,2013-12-07,7,5,FakturaXL,standardowa
3140,Sklep 170,Razem,D,143,182,1,2023-02-21,,8,3,ILUO,standardowa
3374,Sklep 172,Orbita,F,49,79,6,2017-07-02,,1,2,IdoSell,mini
3461,Sklep 173,Mazowsze,C,162,166,6,2020-03-12,,8,4,IdoSell,standardowa
3554,Sklep 174,Żory,D,102,191,7,2021-07-04,,7,3,ILUO,mini
4268,Sklep 177,Bielsko-Biała,C,169,177,2,2017-10-12,,7,4,IdoSell,mini
4286,Sklep 178,Razem,F,41,51,3,2006-04-25,,3,2,IdoSell,standardowa
4625,Sklep 179,Śląsk,D,107,117,5,2003-01-07,2009-01-01,6,4,FakturaXL,standardowa
4626,Sklep 180,Wielkopolska,B,310,314,8,2016-03-13,,9,4,FakturaXL,standardowa
4630,Sklep 182,Bielsko-Biała,C,158,228,5,2019-04-29,,8,2,FakturaXL,mini
4631,Sklep 183,Kujawy,B,281,282,5,2004-04-20,,6,4,FakturaXL,mini
4638,Sklep 184,Kujawy,D,122,138,4,2002-03-29,,4,3,ILUO,standardowa
4646,Sklep 185,Podlasie,C,219,241,3,2013-01-22,,6,2,ILUO,standardowa
4720,Sklep 186,Kielce,A,406,435,6,2017-06-14,,11,5,IdoSell,mini
2848,Sklep 187,Śląsk,F,42,75,2,2004-08-14,2016-10-21,1,2,Streamsoft,standardowa
4295,Sklep 189,Mazowsze,F,34,65,5,1999-10-29,,3,1,IdoSell,standardowa
2304,Sklep 190,Orbita,D,105,133,3,2010-09-18,,5,2,Streamsoft,standardowa
813,Sklep 194,Śląsk,D,103,188,3,2009-02-10,,4,2,IdoSell,standardowa
1153,Sklep 196,Kielce,F,45,55,4,2003-11-27,2014-02-11,2,1,Streamsoft,standardowa
606,Sklep 197,Opole,F,30,66,3,2014-03-28,,3,2,IdoSell,standardowa
3889,Sklep 199,Żory,E,59,59,7,2017-12-14,2019-05-17,2,2,Streamsoft,standardowa
3445,Sklep 202,Kielce,F,43,116,6,2023-04-30,,3,1,IdoSell,mini
3878,Sklep 210,Wielkopolska,F,46,79,5,2006-09-13,2007-03-25,1,0,,standardowa
3910,Sklep 213,Kujawy,F,45,99,4,2005-09-23,2013-06-16,3,2,Streamsoft,standardowa
3936,Sklep 214,Podlasie,F,31,42,3,2017-08-04,,4,2,Streamsoft,standardowa
3937,Sklep 215,Wielkopolska,F,42,47,7,2005-05-28,2016-02-02,4,1,Streamsoft,mini
3945,Sklep 216,Śląsk,D,111,151,6,2004-08-21,,6,2,Streamsoft,standardowa
3958,Sklep 217,Opole,F,47,57,3,2019-03-14,,3,2,Streamsoft,standardowa
3994,Sklep 218,Razem,E,64,91,3,2015-04-02,2021-04-02,4,2,Streamsoft,standardowa
4006,Sklep 220,Kielce,D,142,189,4,2016-10-20,,4,3,IdoSell,standardowa
2112,Sklep 222,Kielce,F,37,38,7,2011-09-25,,3,2,IdoSell,standardowa
3699,Sklep 223,Orbita,F,28,75,6,2019-04-19,,4,2,IdoSell,mini
4329,Sklep 226,Północ,C,159,159,1,2007-05-14,,5,4,IdoSell,standardowa
628,Sklep 228,Orbita,E,57,74,7,2014-01-09,,5,1,ILUO,mini
1049,Sklep 229,Kujawy,E,82,106,5,2001-11-26,2021-09-02,2,1,ILUO,standardowa
3062,Sklep 230,Małopolska,C,166,174,3,2014-07-02,,7,4,ILUO,mini
3030,Sklep 231,Kujawy,C,193,193,7,2009-02-22,,7,5,ILUO,mini
1795,Sklep 232,Orbita,E,80,117,5,2004-03-30,,4,2,,standardowa
2098,Sklep 233,Podlasie,E,82,119,4,2007-07-18,,3,2,,standardowa
1567,Sklep 235,Zachód,F,42,48,3,2021-11-18,,2,0,IdoSell,standardowa
1945,Sklep 236,Kujawy,F,43,43,3,2014-06-15,,4,0,IdoSell,brak
2032,Sklep 238,Mazowsze,C,213,231,8,2020-01-25,,7,3,IdoSell,mini
3874,Sklep 240,Orbita,F,28,53,4,2007-12-18,2017-01-05,3,1,IdoSell,
3925,Sklep 241,Śląsk,F,30,46,2,2007-01-20,,2,0,Streamsoft,standardowa
817,Sklep 245,Wielkopolska,D,106,158,5,2003-09-13,2018-10-04,6,3,IdoSell,standardowa
805,Sklep 246,Wielkopolska,C,198,198,3,2015-11-03,,7,3,IdoSell,standardowa
3381,Sklep 249,Kujawy,F,44,47,3,2021-07-06,,3,0,IdoSell,standardowa
3648,Sklep 250,Śląsk,F,35,55,1,2003-07-10,,3,2,ILUO,standardowa
818,Sklep 252,Bielsko-Biała,F,31,55,6,2007-03-24,,1,0,IdoSell,standardowa
1676,Sklep 254,Wielkopolska,C,206,258,5,2009-04-10,,7,4,IdoSell,mini
815,Sklep 257,Śląsk,F,41,98,4,2010-07-01,,1,1,IdoSell,standardowa
814,Sklep 260,Podlasie,F,48,102,3,2019-09-09,,4,2,,standardowa
2085,Sklep 261,Kujawy,F,38,48,2,2000-03-29,,2,2,IdoSell,standardowa
2443,Sklep 266,Północ,E,98,104,4,2008-04-10,,4,2,IdoSell,standardowa
3375,Sklep 267,Małopolska,D,144,151,6,2008-11-29,2010-08-04,5,4,IdoSell,standardowa
3033,Sklep 270,Kielce,A,383,424,6,2003-05-11,2012-07-31,9,4,IdoSell,standardowa
2010,Sklep 271,Kujawy,F,49,61,3,2002-07-31,,4,2,IdoSell,standardowa
1288,Sklep 273,Śląsk,E,71,81,2,2010-11-14,2015-08-20,4,1,IdoSell,standardowa
824,Sklep 275,Kielce,B,261,268,1,2022-09-24,,7,5,IdoSell,mini
822,Sklep 276,Śląsk,F,39,70,3,2021-07-20,,2,1,IdoSell,standardowa
812,Sklep 278,Opole,E,96,106,6,2018-11-04,,3,1,IdoSell,standardowa
4595,Sklep 279,Północ,E,70,109,7,2004-11-14,2017-05-25,3,2,IdoSell,mini
4708,Sklep 280,Bielsko-Biała,E,88,143,2,2015-06-06,,3,2,IdoSell,standardowa
1193,Sklep 281,Północ,C,209,224,7,2001-11-23,,6,4,ILUO,standardowa
3769,Sklep 282,Razem,F,29,91,6,2021-01-03,,1,0,IdoSell,standardowa
4390,Sklep 283,Małopolska,E,78,91,2,2014-02-27,,4,1,Streamsoft,standardowa
1808,Sklep 284,Opole,D,134,181,4,2017-09-08,,8,2,IdoSell,standardowa
4552,Sklep 285,Opole,F,26,92,6,2009-12-22,,3,2,Streamsoft,standardowa
1765,Sklep 286,Śląsk,D,142,154,4,2017-06-17,,5,2,IdoSell,standardowa
1832,Sklep 287,Żory,E,100,140,5,2019-04-03,,3,2,IdoSell,standardowa
3887,Sklep 288,Wielkopolska,C,216,232,7,2005-01-03,,6,5,DGCS,standardowa
836,Sklep 290,Orbita,F,30,33,5,2001-03-27,,1,2,IdoSell,standardowa
2094,Sklep 291,Północ,F,43,56,7,2003-11-08,2022-02-12,2,2,IdoSell,mini
4700,Sklep 292,Wielkopolska,E,84,137,6,2002-12-15,,5,1,IdoSell,standardowa
825,Sklep 293,Śląsk,F,39,67,3,2020-07-01,,4,2,IdoSell,standardowa
2860,Sklep 299,Orbita,F,50,50,1,2005-05-07,2021-01-15,2,2,IdoSell,standardowa
3075,Sklep 300,Małopolska,E,66,101,6,2018-01-02,,2,1,IdoSell,standardowa
2385,Sklep 302,Kujawy,C,155,194,4,2009-05-27,2015-09-15,6,5,IdoSell,standardowa
2891,Sklep 304,Wielkopolska,A,367,381,8,2016-07-25,2020-09-24,9,2,IdoSell,standardowa
1692,Sklep 305,Orbita,C,193,277,6,2002-12-26,2014-04-03,5,5,IdoSell,mini
1910,Sklep 307,Kujawy,F,44,53,5,2004-10-30,,3,1,IdoSell,standardowa
1458,Sklep 310,Podlasie,E,72,131,5,2005-04-27,2018-09-28,2,1,IdoSell,standardowa
1950,Sklep 312,Kielce,E,92,122,4,2017-10-09,,5,2,IdoSell,standardowa
1951,Sklep 313,Wielkopolska,D,136,172,7,2011-01-07,,4,4,IdoSell,standardowa
1954,Sklep 314,Mazowsze,F,44,49,5,2013-04-02,,4,0,,standardowa
405,Sklep 316,Bjanex,E,76,93,3,2009-04-02,,4,2,IdoSell,standardowa
3654,Sklep 318,Północ,F,35,80,2,2005-01-16,2017-09-04,2,2,IdoSell,mini
1382,Sklep 320,Razem,F,37,101,1,2009-12-02,,3,1,ILUO,standardowa
2274,Sklep 321,Kujawy,F,48,86,2,2008-03-25,2009-06-27,2,2,ILUO,standardowa
2305,Sklep 322,Kujawy,D,141,200,5,2023-09-25,,8,2,ILUO,standardowa
2306,Sklep 323,Północ,F,25,65,2,2023-09-21,,1,0,ILUO,standardowa
406,Sklep 327,Wielkopolska,D,148,149,4,2020-12-28,,4,2,IdoSell,standardowa
1807,Sklep 329,Żory,C,187,196,5,2021-06-17,,8,5,IdoSell,mini
1456,Sklep 332,Orbita,D,142,146,1,2011-10-10,,4,2,ILUO,standardowa
639,Sklep 333,Opole,E,77,118,4,2001-09-15,,4,2,,standardowa
1090,Sklep 334,Podkarpacie,A,421,423,5,2023-10-14,,11,3,ILUO,standardowa
1179,Sklep 336,Bielsko-Biała,D,122,125,4,2001-10-11,2018-12-04,5,4,,standardowa
1809,Sklep 337,Małopolska,E,99,99,3,2000-01-14,,5,1,IdoSell,standardowa
3036,Sklep 340,Małopolska,E,77,77,7,2011-03-11,,2,2,,standardowa
530,Sklep 341,Podlasie,C,243,252,6,2023-10-02,,8,2,ILUO,standardowa
2292,Sklep 346,Mazowsze,D,103,119,3,2007-03-04,,6,2,ILUO,standardowa
2293,Sklep 347,Wielkopolska,F,40,87,1,2005-01-19,,3,0,ILUO,mini
3154,Sklep 354,Mazowsze,E,61,62,6,2006-12-19,2007-07-17,4,1,ILUO,standardowa
3168,Sklep 355,Północ,F,38,44,7,2019-06-18,,3,0,ILUO,standardowa
3220,Sklep 356,Wielkopolska,E,57,58,5,2000-06-20,,3,2,ILUO,standardowa
4101,Sklep 357,Podlasie,D,127,146,2,1999-04-10,2013-11-25,6,4,ILUO,standardowa
4233,Sklep 358,Razem,C,181,195,4,2000-05-16,2021-06-05,7,3,ILUO,standardowa
4440,Sklep 359,Bielsko-Biała,F,39,77,7,1999-10-01,,3,2,ILUO,standardowa
821,Sklep 361,Żory,D,125,131,5,2017-06-29,,7,3,IdoSell,mini
837,Sklep 362,Kujawy,A,357,402,3,2009-10-28,,11,3,IdoSell,mini
2391,Sklep 364,Orbita,D,115,115,3,2010-11-05,2013-07-08,8,3,IdoSell,standardowa
4007,Sklep 365,Bjanex,C,209,236,2,2015-03-31,,6,3,Streamsoft,standardowa
2101,Sklep 367,Żory,F,33,72,3,2003-01-04,2021-02-25,1,0,ILUO,mini
2117,Sklep 368,Zachód,F,42,93,3,2006-07-31,2010-09-14,4,1,Streamsoft,mini
1138,Sklep 369,Wielkopolska,D,121,121,4,2013-08-08,,7,4,IdoSell,mini
1154,Sklep 370,Kielce,F,37,59,6,2001-09-05,2021-12-19,4,0,IdoSell,mini
2437,Sklep 371,Razem,F,33,44,2,2021-04-15,,3,2,IdoSell,standardowa
2476,Sklep 372,Północ,C,184,201,5,2014-01-01,2017-02-28,5,3,IdoSell,standardowa
2531,Sklep 373,Kujawy,D,106,124,4,2014-10-26,2016-02-15,4,4,ILUO,standardowa
3057,Sklep 376,Podkarpacie,F,33,56,4,2011-11-12,2018-08-17,2,1,IdoSell,brak
3063,Sklep 377,Wielkopolska,E,54,64,2,2017-08-11,2023-02-11,5,2,IdoSell,standardowa
3066,Sklep 378,Opole,F,33,46,6,2005-01-28,,2,2,IdoSell,
3069,Sklep 379,Małopolska,F,40,57,3,2011-08-21,,1,0,IdoSell,standardowa
4009,Sklep 381,Bjanex,F,39,40,3,2000-05-21,2020-03-29,1,0,Streamsoft,standardowa
1280,Sklep 382,Razem,F,47,53,6,2011-05-13,,1,0,IdoSell,mini
4400,Sklep 383,Małopolska,A,390,392,2,2015-02-02,,11,6,Streamsoft,mini
3884,Sklep 384,Kujawy,F,38,42,3,2020-06-08,,3,1,ILUO,standardowa
4508,Sklep 385,Bjanex,B,262,306,5,2009-01-25,2013-07-29,6,3,ILUO,mini
3886,Sklep 388,Razem,C,180,188,4,2013-11-09,,7,5,Streamsoft,standardowa
2384,Sklep 389,Orbita,A,357,364,11,1999-09-06,,11,5,IdoSell,standardowa
2484,Sklep 390,Kielce,E,70,81,4,2015-07-13,2019-06-14,5,2,IdoSell,standardowa
1608,Sklep 391,Opole,C,177,192,2,2002-10-23,,6,2,DGCS,standardowa
2192,Sklep 394,Mazowsze,D,147,161,2,2019-07-30,2023-01-22,7,4,ILUO,standardowa
4703,Sklep 397,Małopolska,C,152,198,3,2012-09-17,2015-11-27,5,5,IdoSell,standardowa
4108,Sklep 398,Kielce,F,27,74,1,2019-07-06,2022-09-20,2,1,,standardowa
1854,Sklep 399,Opole,F,36,72,3,2009-11-25,2020-05-22,1,1,IdoSell,standardowa
1270,Sklep 400,Opole,E,98,108,4,2005-12-08,,4,1,IdoSell,standardowa
1295,Sklep 401,Północ,F,45,52,2,2013-05-31,,3,2,,mini
1296,Sklep 402,Kujawy,C,214,238,7,2022-06-21,,7,3,,standardowa
1297,Sklep 403,Wielkopolska,D,117,124,1,2020-09-29,,4,2,IdoSell,standardowa
1812,Sklep 404,Śląsk,F,42,52,1,2013-03-24,,1,1,,mini
1821,Sklep 405,Kujawy,C,168,236,6,2010-07-01,,7,2,Posnet Temo,standardowa
1843,Sklep 406,Wielkopolska,B,300,319,5,2000-08-08,,8,3,IdoSell,standardowa
1850,Sklep 408,Kujawy,E,70,85,3,2014-12-17,,4,2,IdoSell,mini
1853,Sklep 409,Kielce,D,140,185,5,2023-01-28,,4,3,IdoSell,standardowa
1855,Sklep 410,Bielsko-Biała,F,40,93,4,2013-06-25,,2,2,Streamsoft,mini
1856,Sklep 411,Orbita,E,70,90,4,2000-09-25,2018-08-03,4,2,IdoSell,standardowa
1857,Sklep 412,Śląsk,F,48,49,5,2018-06-29,,3,0,IdoSell,mini
1858,Sklep 413,Małopolska,D,120,132,0,2023-03-07,,6,2,,standardowa
1860,Sklep 415,Opole,F,32,36,6,2020-01-26,,4,2,Streamsoft,standardowa
1861,Sklep 416,Żory,D,123,153,1,2001-07-10,2018-10-31,4,4,IdoSell,standardowa
1862,Sklep 417,Podlasie,B,265,335,4,2016-09-06,,7,6,Streamsoft,standardowa
2837,Sklep 424,Żory,E,57,138,7,2022-07-08,,4,2,IdoSell,standardowa
2903,Sklep 425,Północ,F,40,114,7,2003-02-22,2022-08-28,4,1,IdoSell,standardowa
1851,Sklep 427,Mazowsze,E,51,73,4,2012-07-26,,5,2,IdoSell,standardowa
710,Sklep 428,Bielsko-Biała,D,127,185,0,2013-08-14,,8,3,ILUO,mini
3727,Sklep 429,Kielce,D,114,114,5,2015-05-18,,8,4,ILUO,standardowa
2150,Sklep 430,Śląsk,F,36,69,1,2002-08-13,2013-09-04,2,2,,standardowa
3165,Sklep 431,Wielkopolska,F,28,31,4,2018-12-18,,3,2,ILUO,standardowa
2728,Sklep 433,Opole,F,30,53,5,2009-06-15,,3,2,Streamsoft,standardowa
4140,Sklep 435,Żory,F,37,89,3,2002-01-13,2008-10-10,4,0,ILUO,mini
4158,Sklep 436,Kujawy,F,41,74,6,2017-01-27,,3,1,ILUO,mini
1649,Sklep 438,Kujawy,E,91,91,4,2011-06-07,,5,2,ILUO,standardowa
2300,Sklep 439,Kielce,C,240,259,3,2021-05-05,,5,2,ILUO,standardowa
4671,Sklep 443,Kujawy,F,38,57,2,2011-07-13,,4,1,IdoSell,standardowa
1863,Sklep 444,Razem,F,43,44,2,2008-10-16,,2,2,IdoSell,mini
4396,Sklep 445,Północ,F,39,86,3,2023-10-10,,4,0,,standardowa
1852,Sklep 447,Zachód,E,89,161,5,2016-06-03,2020-11-11,3,1,IdoSell,standardowa
1737,Sklep 448,Kielce,D,123,144,5,2014-02-01,2021-07-22,8,3,ILUO,standardowa
1054,Sklep 450,Orbita,C,193,206,6,2013-12-01,,6,4,IdoSell,standardowa
4078,Sklep 451,Podlasie,F,47,77,0,2018-04-26,,1,2,ILUO,standardowa
3908,Sklep 453,Bjanex,F,42,82,5,2015-04-28,,2,0,Streamsoft,standardowa
3039,Sklep 456,Kujawy,F,50,87,0,2023-06-05,,4,0,IdoSell,standardowa
4152,Sklep 458,Kujawy,D,134,140,6,2015-01-03,,4,4,ILUO,standardowa
4454,Sklep 459,Kielce,C,223,266,4,2010-06-27,2022-01-24,7,3,ILUO,standardowa
1181,Sklep 460,Kujawy,F,36,51,3,1999-04-20,,4,1,IdoSell,standardowa
2395,Sklep 461,Bielsko-Biała,C,249,270,6,2022-02-14,,6,4,IdoSell,mini
3848,Sklep 462,Wielkopolska,D,130,142,5,2017-08-09,,8,3,ILUO,standardowa
214,Sklep 464,Wielkopolska,B,290,303,4,2002-03-21,2014-07-21,8,6,IdoSell,mini
1946,Sklep 465,Żory,F,41,53,2,2021-04-29,,1,2,IdoSell,standardowa
4657,Sklep 466,Małopolska,C,174,174,5,2006-02-01,,7,3,IdoSell,standardowa
3357,Sklep 468,Razem,C,237,275,4,2010-05-24,,6,5,IdoSell,standardowa
695,Sklep 469,Śląsk,A,376,376,2,2009-05-17,2011-12-06,11,3,ILUO,mini
2196,Sklep 470,Kielce,C,167,201,7,2020-03-31,2023-11-01,8,4,ILUO,mini
4404,Sklep 472,Kujawy,C,235,244,7,2001-12-26,2018-11-23,8,2,,standardowa
2014,Sklep 473,Mazowsze,E,79,159,5,2006-05-10,,3,2,IdoSell,standardowa
2048,Sklep 474,Wielkopolska,F,49,49,3,1999-01-03,2011-07-02,3,1,ILUO,mini
2113,Sklep 476,Razem,F,29,59,4,1999-12-07,2011-11-15,4,2,IdoSell,standardowa
1956,Sklep 478,Kielce,F,49,121,5,2011-07-08,,1,0,IdoSell,
831,Sklep 479,Orbita,F,33,90,3,2001-01-12,,2,1,,standardowa
4116,Sklep 480,Kielce,F,47,120,3,2002-03-01,,1,2,ILUO,standardowa
1357,Sklep 482,Podlasie,E,87,95,6,2000-07-08,2019-02-21,2,1,IdoSell,standardowa
1813,Sklep 486,Kielce,E,69,97,6,2024-01-19,,3,1,IdoSell,standardowa
3900,Sklep 487,Małopolska,F,44,55,7,2002-02-19,,2,1,Streamsoft,standardowa
1446,Sklep 488,Orbita,A,423,425,7,2004-03-17,,12,3,IdoSell,standardowa
3149,Sklep 490,Mazowsze,C,226,290,3,2010-08-06,,6,5,ILUO,standardowa
612,Sklep 491,Podlasie,B,303,352,1,2007-07-07,,8,5,IdoSell,standardowa
807,Sklep 492,Kielce,B,268,268,2,2000-10-16,2023-06-07,8,5,IdoSell,standardowa
2310,Sklep 494,Opole,F,42,44,3,2023-02-27,,2,1,Streamsoft,standardowa
